sampleID	parental_investment_proj	band	species	location	site	nest	year	age	sex	experiment	treatment	capture_date	cap_doy	cap_num	age	mass	bhead	fwing	sseries_type	cort1_raw	cort1_correct	glucose1	buty	cort2_raw	cort2_correct	glucose2	inject1_type	inject1_dose	inject2_type	inject2_dose	cort3_raw	cort3_correct	glucose3	fate	micro_nb	blood_nb	bolus_nb	lifetag_nb	Notes
	no	281174259	TRES	Ithaca	CLO	405	2020	Nestling		Antibiotic	oral_antibiotic	6/19/20	171	1	12	21.5			B_S_D	0.82	0.88			17.65	18.81		Dex	10			3.99	4.25		Fledged		200814			"red Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174260	TRES	Ithaca	CLO	405	2020	Nestling		Antibiotic	oral_control	6/19/20	171	1	12	21.9			B_S_D	2.92	3.12			24.07	25.66		Dex	10			9.3	9.92		Fledged		200815			"yellow Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174261	TRES	Ithaca	CLO	405	2020	Nestling		Antibiotic	transdermal_antibiotic	6/19/20	171	1	12	23.2			B_S_D	3.7	3.95			18.07	19.27		Dex	10.5			8.67	9.25		Fledged		200816			"green Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174262	TRES	Ithaca	CLO	405	2020	Nestling		Antibiotic	transdermal_control	6/19/20	171	1	12	22.4			B_S_D	1.8	1.93			32.54	34.69		Dex	10			6.82	7.27		Fledged		200817			"blue Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174263	TRES	Ithaca	CLO	405	2020	Nestling		Antibiotic	transdermal_control	6/19/20	171	1	12	21.1			B_S_D	1.35	1.45			13.95	14.88		Dex	9.5			5.38	5.74		Fledged		200818			"purple Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174264	TRES	Ithaca	CLO	406	2020	Nestling		Antibiotic	oral_antibiotic	6/19/20	171	1	12	22.5			B_S_D	1.01	1.08			22.68	24.18		Dex	10.5			3.69	3.93		Fledged		200819			"red Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174265	TRES	Ithaca	CLO	406	2020	Nestling		Antibiotic	oral_control	6/19/20	171	1	12	22.7			B_S_D	2.73	2.91			16.38	17.47		Dex	10.5			7.52	8.02		Fledged		200820			"yellow Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174266	TRES	Ithaca	CLO	406	2020	Nestling		Antibiotic	transdermal_antibiotic	6/19/20	171	1	12	23.2			B_S_D	1.93	2.06			32	32.12		Dex	10.5			17.8	18.98		Fledged		200821			"green Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174267	TRES	Ithaca	CLO	406	2020	Nestling		Antibiotic	transdermal_control	6/19/20	171	1	12	22			B_S_D	1.03	1.11			25.88	27.58		Dex	10			5.64	6.02		Fledged		200822			"blue Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
	no	281174268	TRES	Ithaca	CLO	406	2020	Nestling		Antibiotic	oral_antibiotic	6/19/20	171	1	12	23			B_S_D	1.07	1.14			38.19	40.71		Dex	10.5			9.76	10.41		Fledged		200823			"purple Any fecal samples for these nestlings are noted in the ""L20Nxxx"" log since they were collected on multiple days."
