#OTU ID	A01xL20N169	A02xL20N231	A03xP20N037	A04xP20N054	A05xP20N094	A06xL20N139	A07xL20N023	A07xL20N147	A08xB12	A08xL20N209	A09xL20N064	A09xL20N253	A10xL20N093	A10xL20N271	A11xB13	A11xL20N296	A12xL19N014aANML	A12xL20N149	B01xL20N170	B02xL20N232	B03xP20N038	B04xP20N055	B05xP20N095	B06xL20N140	B07xL20N024	B07xL20N183	B08xL20N034	B08xL20N210	B09xL20N065	B09xL20N254	B10xL20N118	B10xL20N272	B11xL20N125	B11xL20N297	B12xL20N150	B12xP19N068ANML	C01xL20N222	C02xB15	C03xP20N039	C04xP20N060	C05xP20N096	C06xL20N141	C07xL20N025	C07xL20N184	C08xL20N035	C08xL20N211	C09xL20N066	C09xL20N255	C10xL20N119	C10xL20N273	C11xL20N134	C11xL20N298	C12xL20N151	C12xP19N309ANML	D01xL20N223	D02xL20N233	D03xP20N046	D04xP20N071	D05xB1	D06xL20N142	D07xL20N026	D07xL20N185	D08xL20N036	D08xL20N226	D09xL20N067	D09xL20N256	D10xL20N120	D10xL20N274	D11xL20N103ANML	D11xL20N135	D12xL20N152	D12xP19N281ANML	E01xL20N224	E02xP20N013	E03xP20N047	E04xP20N072	E05xP20N097	E06xL20N143	E07xL20N027	E07xL20N186	E08xL20N037	E08xL20N227	E09xL20N089	E09xL20N257	E10xB16	E10xL20N121	E11xL20N136	E11xL20N220ANML	E12xL20N166	E12xP19N465ANML	F01xL20N225	F02xP20N020	F03xP20N048	F04xP20N073	F05xP20N102	F06xL20N144	F07xL20N031	F07xL20N187	F08xL20N038	F08xL20N228	F09xL20N090	F09xL20N258	F10xL20N122	F10xL20N293	F11xL20N137	F11xL20N246ANML	F12xL20N167	F12xP20N054ANML	G01xL20N229	G02xP20N021	G03xP20N049	G04xP20N078	G05xP20N103	G06xL20N145	G06xL20N299	G07xL20N032	G07xL20N207	G08xL20N039	G08xL20N251	G09xL20N091	G09xL20N259	G10xL20N123	G10xL20N294	G11xL20N138	G11xL20N289ANML	G12xL20N168	G12xP20N181ANML	H01xL20N230	H02xP20N036	H03xP20N053	H04xP20N082	H05xP20N120	H06xL20N146	H06xL20N300	H07xL20N033	H07xL20N208	H08xL20N063	H08xL20N252	H09xL20N092	H09xL20N270	H10xL20N124	H10xL20N295	H11xL20N148	H11xL20N187ANML	H12xB14	H12xL20N005ANML
OTU1	15499	25884	27561	16058	19023	14768	223	306	11	4806	1182	2597	586	102	27	6667	3	30690	23907	23966	16274	23900	25050	1451	138	472	6	6475	2394	126	207	3235	2176	17439	7489	27	27413	22	11528	117	3682	24178	8	989	316	3494	19291	3	882	6506	16013	4	2995	4	26906	10257	17973	12209	21	8407	5878	18197	7406	8910	2407	14270	83	11531	6	87	2035	3	24465	28421	39836	33	23785	793	4440	1441	2276	55	581	2502	24	1607	2018	6	11689	7	4933	2569	8090	1612	782	2602	1020	11	12705	4268	3753	11495	5114	27556	4284	7	37943	3	30658	3629	32369	9169	240	84	3	1022	479	12	122	749	148	7921	765	180	5	32229	3	9060	6072	32074	20979	334	904	992	21163	2928	149	4857	8079	46	726	7029	18912	4	19	1
OTU10	1	1	0	67	0	723	0	0	1	13	9	546	575	0	1	0	0	1922	0	0	0	0	0	25	1	0	0	662	27	30	21	0	0	14	85	0	0	0	4	0	0	526	0	0	33	0	92	0	253	0	848	0	59	0	0	0	0	0	0	26	0	0	650	26	18	115	1	0	0	282	297	0	0	0	0	0	0	21	0	28	0	13	1850	611	0	1	31	0	0	0	1	0	74	1	0	8	81	208	1	1809	198	148	0	0	2496	0	1	0	0	0	0	0	99	1	1	13	4	0	137	78	86	0	0	35	0	1	0	1	0	4	2	2	2	889	448	1068	2	2568	14345	2	1	1	1834	1	2	1
OTU100	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	1	1478	0	0	1	0	0	0	0	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0
