"","site_box_year","sampleID","percent_aquatic_pa","percent_aquatic_ra","num_fam","parental_investment_proj","band","species","location","site","nest","year","age","sex","capture_date","cap_doy","cap_num","age.1","mass","bhead","fwing","sseries_type","cort1_raw","cort1_correct","glucose1","buty","cort2_raw","cort2_correct","glucose2","inject1_type","inject1_dose","inject2_type","inject2_dose","cort3_raw","cort3_correct","glucose3","fate","micro_nb","blood_nb","bolus_nb","lifetag_nb","Notes","Nest_Experiment","Nest_Treatment","Day6_Brood_Mass","Brood_Size_Day6","avg_day6_mass","exp_treat","TotalReads","percent_aquatic_ra_nestlings_mean","percent_aquatic_pa_nestlings_mean"
"1","Turkey_Hill_123_2020","P20N190",0.291666666666667,0.616117552519802,24,"yes","281174216","TRES","Ithaca","Turkey_Hill","123","2020","Adult","F","6/22/20","174","2","SY",18.5,28.8,112,"B_S",2.6,2.78,NA,NA,28.54,30.43,NA,"",NA,"",NA,NA,NA,NA,"","M20N208","200686","B20N027","194B4B1E3D","","CortMovement","Control",58.6,4,14.65,"CortMovement_Control",26133,0.65283765052366,0.370286404416839
"2","Turkey_Hill_137_2020","P20N178",0.5625,0.908284023668639,16,"yes","281174904","TRES","Ithaca","Turkey_Hill","137","2020","Adult","F","6/17/20","169","2","SY",18.75,28.8,118,"B_S",223.85,238.6,NA,NA,98.61,105.11,NA,"",NA,"",NA,NA,NA,NA,"","M20N195","200262","B20N023","4B786166F2","","CortMovement","Cort",42.4,3,14.1333333333333,"CortMovement_Cort",676,0.947383475160746,0.42027417027417
"3","Turkey_Hill_31_2020","P20N152",0.4,0.0395988686037542,10,"yes","281174901","TRES","Ithaca","Turkey_Hill","31","2020","Adult","F","6/12/20","164","2","SY",19.25,28.8,111,"B_S",2.32,2.48,NA,NA,34.19,36.45,NA,"",NA,"",NA,NA,NA,NA,"","M20N176","200216","","554C1E34C3","","CortMovement","Cort",51,3,17,"CortMovement_Cort",11667,0.976811880728721,0.524561403508772
"4","Turkey_Hill_32_2020","P20N186",0.444444444444444,0.1090573012939,18,"yes","281174215","TRES","Ithaca","Turkey_Hill","32","2020","Adult","F","6/19/20","171","2","SY",17.75,28.8,115,"B_S",2.45,2.62,NA,NA,37.73,40.22,NA,"",NA,"",NA,NA,NA,NA,"","M20N203","200299","","34074B610B","","CortMovement","Control",56.2,5,11.24,"CortMovement_Control",541,0.623396490161667,0.383623095171083
"5","Turkey_Hill_48_2020","P20N143",0.407407407407407,0.924176825794691,27,"yes","281174203","TRES","Ithaca","Turkey_Hill","48","2020","Adult","F","6/11/20","163","2","ASY",20,28.6,117,"B_S",1.56,1.67,NA,NA,26.95,28.73,NA,"",NA,"",NA,NA,NA,NA,"","M20N168","200203","","4B074C550C","At this capture previous life tag and PIT had fallen off, replaced with these ones","CortMovement","Control",44.5,5,8.9,"CortMovement_Control",17554,0.424875841920754,0.447012987012987
"6","Turkey_Hill_50_2020","P20N153",0.454545454545455,0.994616977225673,11,"yes","281174205","TRES","Ithaca","Turkey_Hill","50","2020","Adult","F","6/12/20","164","2","SY",18.75,28,115,"B_S",2.43,2.6,NA,NA,33.38,35.59,NA,"",NA,"",NA,NA,NA,NA,"","M20N177","200217","B20N014","","","CortMovement","Control",69.8,6,11.6333333333333,"CortMovement_Control",4830,0.62366226757951,0.51875
"7","Turkey_Hill_56_2020","P20N181",0.388888888888889,0.858689458689459,18,"yes","281174211","TRES","Ithaca","Turkey_Hill","56","2020","Adult","F","6/18/20","170","2","SY",18,28.5,115,"B_S",179.75,191.59,NA,NA,135.76,144.7,NA,"",NA,"",NA,NA,NA,NA,"","M20N198","200271","B20N025","3407612DC4","No stress bleed time listed and release is much later than 30 minutes so not sure about timing","CortMovement","Cort",75.2,5,15.04,"CortMovement_Cort",1755,0.592143030416832,0.397863247863248
"8","Turkey_Hill_69_2020","P20N160",0.260869565217391,0.960859924804782,23,"yes","281174206","TRES","Ithaca","Turkey_Hill","69","2020","Adult","F","6/13/20","165","2","ASY",18.25,27.8,113,"B_S",3.38,3.61,NA,NA,36.89,39.32,NA,"",NA,"",NA,NA,NA,NA,"","M20N183","200227","B20N018","4B072D4BB6","","CortMovement","Control",58.1,5,11.62,"CortMovement_Control",10373,0.156650021785201,0.518759018759019
"9","Turkey_Hill_86_2019","P19N256",1,1,4,"yes","272107450","TRES","Ithaca","Turkey_Hill","86","2019","Adult","F","6/14/19","165","3","SY",20,NA,NA,"B_S_D",4.77,5.04,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","190370","","","","Light","Light_Control",61.21,5,12.242,"Light_Light_Control",30528,0.131433095803642,0.375
"10","Turkey_Hill_97_2019","P19N324",0.470588235294118,0.739488587609405,17,"yes","272107290","TRES","Ithaca","Turkey_Hill","97","2019","Adult","F","6/17/19","168","3","ASY",18.5,NA,NA,"B_S",0.4,0.47,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","190534","","","","Light","Light_Control",45,5,9,"Light_Light_Control",17481,0.839470490087439,0.432905982905983
