#OTUID	taxonomy	USEARCH	SINTAX	UTAX
OTU1	GS|100.0|BOLD:AAC8614_AY666472;k:Animalia,p:Chordata,c:Aves,o:Passeriformes,f:Hirundinidae,g:Tachycineta,s:Tachycineta bicolor	k:Animalia,p:Chordata,c:Aves,o:Passeriformes,f:Hirundinidae,g:Tachycineta,s:Tachycineta bicolor	k:Animalia,p:Chordata,c:Aves,o:Passeriformes	k:Animalia,p:Chordata,c:Aves,o:Passeriformes
OTU2	GS|100.0|BOLD:AAF9041_MG166323;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Tipulidae,g:Tipula,s:Tipula oleracea	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Tipulidae,g:Tipula,s:Tipula oleracea	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Tipulidae,g:Tipula,s:Tipula subcunctans	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU3	US|1.0000|None;k:Animalia,p:Arthropoda,c:Arachnida,o:Sarcoptiformes	No hit	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Arachnida,o:Sarcoptiformes
OTU4	GS|100.0|BOLD:ABY8689_NA;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Rhipidia,s:Rhipidia maculata	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Rhipidia,s:Rhipidia maculata	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Rhipidia,s:Rhipidia maculata	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU5	GS|100.0|BOLD:ABX6186_MG170645;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Tipulidae,g:Nephrotoma,s:Nephrotoma ferruginea	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Tipulidae,g:Nephrotoma,s:Nephrotoma ferruginea	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Tipulidae,g:Nephrotoma,s:Nephrotoma ferruginea	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU6	GS|100.0|BOLD:AAN5879_KR396442;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU7	GS|100.0|BOLD:AAA3630_JF498861;k:Animalia,p:Chordata,c:Aves,o:Galliformes,f:Phasianidae,g:Gallus,s:Gallus gallus	k:Animalia,p:Chordata,c:Aves,o:Galliformes,f:Phasianidae,g:Gallus,s:Gallus gallus	k:Animalia,p:Chordata,c:Aves,o:Galliformes,f:Phasianidae,g:Gallus,s:Gallus gallus	k:Animalia,p:Chordata,c:Aves,o:Galliformes
OTU8	GSL|100.0|BOLD:AAB1679_HQ151837;k:Animalia,p:Arthropoda,c:Insecta,o:Plecoptera,f:Nemouridae,g:Amphinemura	k:Animalia,p:Arthropoda,c:Insecta,o:Plecoptera,f:Nemouridae,g:Amphinemura	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Plecoptera
OTU9	US|1.0000|None;k:Animalia,p:Chordata,c:Reptilia,o:Squamata	No hit	k:Animalia,p:Chordata	k:Animalia,p:Chordata,c:Reptilia,o:Squamata
OTU10	US|1.0000|BOLD:AAL7864_KR245372;k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Sciaridae,g:Corynoptera,s:Corynoptera trepida	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera
